Id;Framework;Model;Optimizer;Learning_rate;Epochs;Loss_function;Num_gestures;Gestures
1;Keras;ResNet50;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
2;Keras;ResNet101;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
3;Keras;ResNet152;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
4;Keras;ResNet50V2;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
5;Keras;ResNet101V2;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
6;Keras;ResNet152V2;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
7;Keras;VGG16;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
8;Keras;VGG19;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
9;Keras;InceptionV3;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
10;Keras;InceptionResnetV2;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
11;Keras;MobileNetV2;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
12;Keras;DenseNet121;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
13;Keras;DenseNet169;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
14;Keras;DenseNet201;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
15;Keras;NasNetLarge;Adam;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
16;Keras;ResNet50;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
17;Keras;ResNet101;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
18;Keras;ResNet152;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
19;Keras;ResNet50V2;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
20;Keras;ResNet101V2;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
21;Keras;ResNet152V2;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
22;Keras;VGG16;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
23;Keras;VGG19;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
24;Keras;InceptionV3;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
25;Keras;InceptionResNetV2;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
26;Keras;MobileNetV2;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
27;Keras;DenseNet121;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
28;Keras;DenseNet169;SGD;0.001;100;categorical_crossentropy;3;['fist', 'l', 'palm']
