Id;Gesture;Precision;Recall;F1_score;Support
1;fist;0.99;1.0;0.99;76.0
1;l;1.0;0.91;0.95;75.0
1;palm;0.91;0.99;0.95;75.0
2;fist;1.0;0.74;0.85;76.0
2;l;1.0;0.8;0.89;75.0
2;palm;0.68;1.0;0.81;75.0
3;fist;0.97;1.0;0.99;76.0
3;l;1.0;1.0;1.0;75.0
3;palm;1.0;0.97;0.99;75.0
4;fist;0.0;0.0;0.0;76.0
4;l;0.0;0.0;0.0;75.0
4;palm;0.33;1.0;0.5;75.0
5;fist;0.0;0.0;0.0;76.0
5;l;0.34;0.35;0.34;75.0
5;palm;0.35;0.69;0.46;75.0
6;fist;0.34;1.0;0.5;76.0
6;l;0.0;0.0;0.0;75.0
6;palm;0.0;0.0;0.0;75.0
7;fist;1.0;1.0;1.0;76.0
7;l;1.0;1.0;1.0;75.0
7;palm;1.0;1.0;1.0;75.0
8;fist;1.0;1.0;1.0;76.0
8;l;1.0;1.0;1.0;75.0
8;palm;1.0;1.0;1.0;75.0
9;fist;0.36;0.36;0.36;76.0
9;l;0.0;0.0;0.0;75.0
9;palm;0.35;0.71;0.47;75.0
10;fist;0.0;0.0;0.0;76.0
10;l;0.0;0.0;0.0;75.0
10;palm;0.33;1.0;0.5;75.0
11;fist;0.0;0.0;0.0;76.0
11;l;0.0;0.0;0.0;75.0
11;palm;0.33;1.0;0.5;75.0
12;fist;0.0;0.0;0.0;76.0
12;l;0.0;0.0;0.0;75.0
12;palm;0.33;1.0;0.5;75.0
13;fist;0.0;0.0;0.0;76.0
13;l;0.28;0.52;0.37;75.0
13;palm;0.29;0.35;0.32;75.0
14;fist;0.69;0.57;0.62;76.0
14;l;0.27;0.43;0.33;75.0
14;palm;0.31;0.19;0.23;75.0
15;fist;0.34;1.0;0.5;76.0
15;l;0.0;0.0;0.0;75.0
15;palm;0.0;0.0;0.0;75.0
16;fist;0.97;1.0;0.99;76.0
16;l;1.0;0.97;0.99;75.0
16;palm;0.97;0.97;0.97;75.0
17;fist;1.0;0.64;0.78;76.0
17;l;1.0;0.32;0.48;75.0
17;palm;0.49;1.0;0.66;75.0
18;fist;0.97;1.0;0.99;76.0
18;l;1.0;1.0;1.0;75.0
18;palm;1.0;0.97;0.99;75.0
19;fist;0.0;0.0;0.0;76.0
19;l;0.0;0.0;0.0;75.0
19;palm;0.33;1.0;0.5;75.0
20;fist;0.0;0.0;0.0;76.0
20;l;0.0;0.0;0.0;75.0
20;palm;0.33;1.0;0.5;75.0
21;fist;0.34;1.0;0.5;76.0
21;l;0.0;0.0;0.0;75.0
21;palm;0.0;0.0;0.0;75.0
22;fist;0.99;1.0;0.99;76.0
22;l;1.0;1.0;1.0;75.0
